# instant	action	lignes_avant	resultat
2026-09-12T15:27:25Z	purger	21173	ok
2026-09-12T15:45:13Z	purger	6307	ok
2026-09-12T16:09:06Z	purger	11230	ok
2026-09-12T16:15:15Z	purger	1750	ok
2026-09-12T16:21:11Z	purger	1132	ok
2026-09-12T16:22:53Z	purger	301	ok
2026-09-12T18:58:35Z	purger	41406	ok
2026-09-12T19:09:51Z	purger	5351	ok
2026-09-12T19:59:51Z	purger	23916	ok
2026-09-12T20:15:32Z	purger	9478	ok
2026-09-12T20:45:33Z	purger	15030	ok
