# Lecture du graphe construit par run.py — runs/20260926-040544
# plage 2026-09-25 18:01 -> 20:11, fenêtres de 60 s
# fenêtres gardées : 130

queue: food_delivery    run: runs/20260926-040544
window  start_utc                   backlog  backlog_slope   publish_rate   consume_rate rate_imbalance      consumers
29839406  19:26:00                     52.000        -39.500          3.650          4.217         -0.567          3.000
29839407  19:27:00                      8.000        -39.500          3.417          4.233         -0.817          3.000
29839408  19:28:00                      0.000        -26.000          3.600          3.600          0.000          3.000
29839409  19:29:00                      0.000         -4.000          3.250          3.250          0.000          3.000
29839410  19:30:00                      1.000          0.500          3.383          3.383          0.000          3.000
29839411  19:31:00                      1.000          0.500          3.550          3.550          0.000          3.000
29839412  19:32:00                      2.000          0.500          3.467          3.467          0.000          3.000
29839413  19:33:00                     27.000         13.000          3.517          2.983          0.533          3.000
29839414  19:34:00                     77.000         37.500          3.667          2.783          0.883          3.000
29839415  19:35:00                    122.000         47.500          3.517          2.767          0.750          3.000
29839416  19:36:00                    186.000         54.500          3.817          2.783          1.033          3.000
29839417  19:37:00                    231.000         54.500          3.500          2.767          0.733          3.000
29839418  19:38:00                    282.000         48.000          3.633          2.783          0.850          3.000
29839419  19:39:00                    332.000         50.500          3.633          2.767          0.867          3.000
29839420  19:40:00                    381.000         49.500          3.483          2.783          0.700          3.000
29839421  19:41:00                    413.000         40.500          3.333          2.750          0.583          3.000
29839422  19:42:00                    458.000         38.500          3.500          2.767          0.733          3.000
29839423  19:43:00                    510.000         48.500          3.717          2.767          0.950          3.000
29839424  19:44:00                    551.000         46.500          3.433          2.783          0.650          3.000
29839425  19:45:00                    589.000         39.500          3.333          2.767          0.567          3.000
29839426  19:46:00                    630.000         39.500          3.517          2.767          0.750          3.000
29839427  19:47:00                    678.000         44.500          3.567          2.783          0.783          3.000
29839428  19:48:00                    725.000         47.500          3.583          2.767          0.817          3.000
29839429  19:49:00                    775.000         48.500          3.550          2.767          0.783          3.000
29839430  19:50:00                    825.000         50.000          3.583          2.783          0.800          3.000
29839431  19:51:00                    865.000         45.000          3.500          2.767          0.733          3.000
29839432  19:52:00                    916.000         45.500          3.600          2.767          0.833          3.000
29839433  19:53:00                    914.000         24.500          3.367          3.500         -0.133          3.000
29839434  19:54:00                    868.000        -24.000          3.483          4.233         -0.750          3.000
29839435  19:55:00                    836.000        -39.000          3.600          4.250         -0.650          3.000
29839436  19:56:00                    803.000        -32.500          3.633          4.217         -0.583          3.000
29839437  19:57:00                    755.000        -40.500          3.517          4.233         -0.717          3.000
29839438  19:58:00                    711.000        -46.000          3.467          4.233         -0.767          3.000
29839439  19:59:00                    659.000        -48.000          3.383          4.250         -0.867          3.000
29839440  20:00:00                    615.000        -48.000          3.517          4.217         -0.700          3.000
29839441  20:01:00                    575.000        -42.000          3.483          4.250         -0.767          3.000
29839442  20:02:00                    532.000        -41.500          3.583          4.233         -0.650          3.000
29839443  20:03:00                    491.000        -42.000          3.583          4.250         -0.667          3.000
29839444  20:04:00                    452.000        -40.000          3.583          4.250         -0.667          3.000
29839445  20:05:00                    402.000        -44.500          3.350          4.250         -0.900          3.000
29839446  20:06:00                    355.000        -48.500          3.617          4.250         -0.633          3.000
29839447  20:07:00                    298.000        -52.000          3.250          4.233         -0.983          3.000
29839448  20:08:00                    262.000        -46.500          3.583          4.217         -0.633          3.000
29839449  20:09:00                    211.000        -43.500          3.367          4.250         -0.883          3.000
29839450  20:10:00                    162.000        -50.000          3.450          4.250         -0.800          3.000

instances containing 'delivery'    run: runs/20260926-040544
window  start_utc            instance                                  process_time_p50  process_time_p95       error_ratio          cpu_rate       memory_used
29839321  18:01:00             ts-delivery-service-79c46f4f45-bmgvs               705.895           846.571                 -             0.003         439042048
29839321  18:01:00             ts-delivery-service-79c46f4f45-r5pwb               706.269           846.537                 -             0.002         433012736
29839321  18:01:00             ts-delivery-service-79c46f4f45-tvmfl               705.961           846.385                 -             0.003         442949632
29839321  18:01:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         416411648
29839322  18:02:00             ts-delivery-service-79c46f4f45-bmgvs               706.045           846.258                 -             0.003         439009280
29839322  18:02:00             ts-delivery-service-79c46f4f45-r5pwb               706.252           846.719                 -             0.003         432910336
29839322  18:02:00             ts-delivery-service-79c46f4f45-tvmfl               706.097           846.639                 -             0.003         442945536
29839322  18:02:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         416411648
29839323  18:03:00             ts-delivery-service-79c46f4f45-bmgvs               845.848              1082                 -             0.002         439009280
29839323  18:03:00             ts-delivery-service-79c46f4f45-r5pwb               706.709              1082                 -             0.003         432959488
29839323  18:03:00             ts-delivery-service-79c46f4f45-tvmfl               708.286              1082                 -             0.002         442945536
29839323  18:03:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         416411648
29839324  18:04:00             ts-delivery-service-79c46f4f45-bmgvs                  1081              1086                 -             0.003         439009280
29839324  18:04:00             ts-delivery-service-79c46f4f45-r5pwb                  1081              1082                 -             0.003         433168384
29839324  18:04:00             ts-delivery-service-79c46f4f45-tvmfl                  1081              1082                 -             0.002         442945536
29839324  18:04:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         416411648
29839325  18:05:00             ts-delivery-service-79c46f4f45-bmgvs                  1081              1081                 -             0.002         439013376
29839325  18:05:00             ts-delivery-service-79c46f4f45-r5pwb                  1081              1081                 -             0.002         432488448
29839325  18:05:00             ts-delivery-service-79c46f4f45-tvmfl                  1081              1083                 -             0.003         442961920
29839325  18:05:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         416411648
29839326  18:06:00             ts-delivery-service-79c46f4f45-bmgvs                  1081              1081                 -             0.002         439013376
29839326  18:06:00             ts-delivery-service-79c46f4f45-r5pwb                  1080              1081                 -             0.003         432615424
29839326  18:06:00             ts-delivery-service-79c46f4f45-tvmfl                  1081              1084                 -             0.003         442961920
29839326  18:06:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         416411648
29839327  18:07:00             ts-delivery-service-79c46f4f45-bmgvs                  1081              1082                 -             0.002         439013376
29839327  18:07:00             ts-delivery-service-79c46f4f45-r5pwb                  1081              1082                 -             0.004         432615424
29839327  18:07:00             ts-delivery-service-79c46f4f45-tvmfl                  1081              1081                 -             0.002         442961920
29839327  18:07:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         416411648
29839328  18:08:00             ts-delivery-service-79c46f4f45-bmgvs                  1081              1082                 -             0.002         439013376
