# Lecture du graphe construit par run.py — runs/20260926-035654
# plage 2026-09-25 15:45 -> 17:56, fenêtres de 60 s
# fenêtres gardées : 131

queue: food_delivery    run: runs/20260926-035654
window  start_utc                   backlog  backlog_slope   publish_rate   consume_rate rate_imbalance      consumers
29839185  15:45:00                      1.000              -          3.533          3.550         -0.017          3.000
29839186  15:46:00                      0.000         -1.000          3.583          3.550          0.033          3.000
29839187  15:47:00                      0.000         -0.500          3.700          3.733         -0.033          3.000
29839188  15:48:00                     31.000         15.500          4.717          4.233          0.483          3.000
29839189  15:49:00                     63.000         31.500          4.833          4.250          0.583          3.000
29839190  15:50:00                    100.000         34.500          4.883          4.233          0.650          3.000
29839191  15:51:00                    141.000         39.000          4.967          4.250          0.717          3.000
29839192  15:52:00                    176.000         38.000          4.800          4.250          0.550          3.000
29839193  15:53:00                    204.000         31.500          4.767          4.233          0.533          3.000
29839194  15:54:00                    243.000         33.500          4.817          4.250          0.567          3.000
29839195  15:55:00                    294.000         45.000          5.150          4.250          0.900          3.000
29839196  15:56:00                    338.000         47.500          4.950          4.250          0.700          3.000
29839197  15:57:00                    370.000         38.000          4.833          4.250          0.583          3.000
29839198  15:58:00                    397.000         29.500          4.600          4.233          0.367          3.000
29839199  15:59:00                    436.000         33.000          4.917          4.250          0.667          3.000
29839200  16:00:00                    474.000         38.500          4.817          4.233          0.583          3.000
29839201  16:01:00                    515.000         39.500          5.017          4.217          0.800          3.000
29839202  16:02:00                    547.000         36.500          4.733          4.217          0.517          3.000
29839203  16:03:00                    580.000         32.500          4.783          4.250          0.533          3.000
29839204  16:04:00                    616.000         34.500          4.800          4.250          0.550          3.000
29839205  16:05:00                    667.000         43.500          5.167          4.233          0.933          3.000
29839206  16:06:00                    698.000         41.000          4.833          4.250          0.583          3.000
29839207  16:07:00                    743.000         38.000          4.867          4.250          0.617          3.000
29839208  16:08:00                    713.000          7.500          3.583          4.250         -0.667          3.000
29839209  16:09:00                    657.000        -43.000          3.383          4.250         -0.867          3.000
29839210  16:10:00                    606.000        -53.500          3.350          4.250         -0.900          3.000
29839211  16:11:00                    574.000        -41.500          3.683          4.250         -0.567          3.000
29839212  16:12:00                    516.000        -45.000          3.333          4.250         -0.917          3.000
29839213  16:13:00                    471.000        -51.500          3.550          4.217         -0.667          3.000
29839214  16:14:00                    435.000        -40.500          3.483          4.250         -0.767          3.000
29839215  16:15:00                    402.000        -34.500          3.767          4.250         -0.483          3.000
29839216  16:16:00                    360.000        -37.500          3.500          4.250         -0.750          3.000
29839217  16:17:00                    321.000        -40.500          3.683          4.233         -0.550          3.000
29839218  16:18:00                    276.000        -42.000          3.433          4.233         -0.800          3.000
29839219  16:19:00                    245.000        -38.000          3.633          4.250         -0.617          3.000
29839220  16:20:00                    201.000        -37.500          3.500          4.250         -0.750          3.000
29839221  16:21:00                    142.000        -51.500          3.400          4.250         -0.850          3.000
29839222  16:22:00                    104.000        -48.500          3.600          4.217         -0.617          3.000
29839223  16:23:00                     61.000        -40.500          3.500          4.250         -0.750          3.000
29839224  16:24:00                     15.000        -44.500          3.417          4.233         -0.817          3.000
29839225  16:25:00                      0.000        -30.500          3.600          3.667         -0.067          3.000
29839226  16:26:00                      0.000         -7.500          3.517          3.533         -0.017          3.000
29839227  16:27:00                      5.000          2.500          3.867          3.867          0.000          3.000
29839228  16:28:00                      1.000          0.500          3.450          3.450          0.000          3.000
29839229  16:29:00                      0.000         -2.500          3.233          3.250         -0.017          3.000
29839230  16:30:00                      0.000         -0.500          3.583          3.583          0.000          3.000
29839231  16:31:00                      0.000          0.000          3.400          3.350          0.050          3.000
29839232  16:32:00                      2.000          1.000          3.450          3.500         -0.050          3.000
29839233  16:33:00                     34.000         17.000          4.900          4.250          0.650          3.000
29839234  16:34:00                     74.000         36.000          4.850          4.250          0.600          3.000
29839235  16:35:00                    121.000         43.500          5.067          4.250          0.817          3.000
29839236  16:36:00                    169.000         47.500          5.000          4.233          0.767          3.000
29839237  16:37:00                    202.000         40.500          4.800          4.250          0.550          3.000
29839238  16:38:00                    223.000         27.000          4.767          4.250          0.517          3.000
29839239  16:39:00                    256.000         27.000          4.717          4.233          0.483          3.000
29839240  16:40:00                    297.000         37.000          4.917          4.233          0.683          3.000
29839241  16:41:00                    338.000         41.000          5.050          4.250          0.800          3.000
29839242  16:42:00                    401.000         52.000          5.083          4.250          0.833          3.000
29839243  16:43:00                    426.000         44.000          4.583          4.250          0.333          3.000
29839244  16:44:00                    459.000         29.000          4.900          4.233          0.667          3.000
29839245  16:45:00                    503.000         38.500          5.017          4.250          0.767          3.000
29839246  16:46:00                    546.000         43.500          4.883          4.217          0.667          3.000
29839247  16:47:00                    579.000         38.000          4.850          4.250          0.600          3.000
29839248  16:48:00                    607.000         30.500          4.733          4.233          0.500          3.000
29839249  16:49:00                    656.000         38.500          5.050          4.233          0.817          3.000
29839250  16:50:00                    682.000         37.500          4.583          4.250          0.333          3.000
29839251  16:51:00                    728.000         36.000          5.017          4.250          0.767          3.000
29839252  16:52:00                    758.000         38.000          4.833          4.250          0.583          3.000
29839253  16:53:00                    738.000          5.000          3.683          4.250         -0.567          3.000
29839254  16:54:00                    685.000        -36.500          3.267          4.233         -0.967          3.000
29839255  16:55:00                    636.000        -51.000          3.467          4.250         -0.783          3.000
29839256  16:56:00                    597.000        -44.000          3.683          4.250         -0.567          3.000
29839257  16:57:00                    547.000        -44.500          3.383          4.250         -0.867          3.000
29839258  16:58:00                    510.000        -43.500          3.633          4.217         -0.583          3.000
29839259  16:59:00                    467.000        -40.000          3.483          4.233         -0.750          3.000
29839260  17:00:00                    408.000        -51.000          3.367          4.250         -0.883          3.000
