# Lecture du graphe construit par run.py — runs/20260925-113438
# plage 2026-09-24 17:37 -> 19:32, fenêtres de 60 s
# fenêtres gardées : 115

queue: food_delivery    run: runs/20260925-113438
window  start_utc                   backlog  backlog_slope   publish_rate   consume_rate rate_imbalance      consumers
29837944  19:04:00                      0.000          0.000          2.400          2.400          0.000          3.000
29837945  19:05:00                      0.000         -0.500          1.967          1.967          0.000          3.000
29837946  19:06:00                      0.000          0.000          2.133          2.133          0.000          3.000
29837947  19:07:00                      0.000          0.000          2.067          2.067          0.000          3.000
29837948  19:08:00                      0.000          0.000          2.300          2.300          0.000          3.000
29837949  19:09:00                      0.000          0.000          1.983          1.983          0.000          3.000
29837950  19:10:00                      0.000          0.000          1.967          1.967          0.000          3.000
29837951  19:11:00                      0.000          0.000          2.033          2.033          0.000          3.000
29837952  19:12:00                      0.000          0.000          2.167          2.167          0.000          3.000
29837953  19:13:00                      0.000          0.000          2.150          2.150          0.000          3.000
29837954  19:14:00                      0.000          0.000          2.250          2.250          0.000          3.000
29837955  19:15:00                      0.000          0.000          2.167          2.167          0.000          3.000
29837956  19:16:00                      0.000          0.000          2.133          2.133          0.000          3.000
29837957  19:17:00                      0.000          0.000          2.233          2.233          0.000          3.000
29837958  19:18:00                      0.000          0.000          2.033          2.033          0.000          3.000
29837959  19:19:00                      2.000          1.000          2.150          2.150          0.000          3.000
29837960  19:20:00                      0.000          0.000          2.117          2.117          0.000          3.000
29837961  19:21:00                      0.000         -1.000          2.050          2.050          0.000          3.000
29837962  19:22:00                      0.000          0.000          2.200          2.200          0.000          3.000
29837963  19:23:00                      0.000          0.000          2.100          2.100          0.000          3.000
29837964  19:24:00                      0.000          0.000          1.983          1.983          0.000          3.000
29837965  19:25:00                      0.000          0.000          2.150          2.150          0.000          3.000
29837966  19:26:00                      0.000          0.000          2.050          2.050          0.000          3.000
29837967  19:27:00                      0.000          0.000          2.067          2.067          0.000          3.000
29837968  19:28:00                      0.000          0.000          2.050          2.050          0.000          3.000
29837969  19:29:00                      0.000          0.000          1.983          1.983          0.000          3.000
29837970  19:30:00                      0.000          0.000          2.233          2.233          0.000          3.000
29837971  19:31:00                      0.000          0.000          2.033          2.033          0.000          3.000

instances containing 'delivery'    run: runs/20260925-113438
window  start_utc            instance                                  process_time_p50  process_time_p95       error_ratio          cpu_rate       memory_used
29837857  17:37:00             ts-delivery-service-79c46f4f45-bmgvs               846.504           848.128                 -             0.002         437489664
29837857  17:37:00             ts-delivery-service-79c46f4f45-r5pwb               846.405           847.288                 -             0.001         431022080
29837857  17:37:00             ts-delivery-service-79c46f4f45-tvmfl               846.589           847.936                 -             0.001         435576832
29837857  17:37:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         409751552
29837858  17:38:00             ts-delivery-service-79c46f4f45-bmgvs               846.548           847.489                 -             0.002         437489664
29837858  17:38:00             ts-delivery-service-79c46f4f45-r5pwb               846.742           847.480                 -             0.001         431058944
29837858  17:38:00             ts-delivery-service-79c46f4f45-tvmfl               846.341           848.214                 -             0.002         435519488
29837858  17:38:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         409751552
29837859  17:39:00             ts-delivery-service-79c46f4f45-bmgvs               846.477           847.155                 -             0.002         437485568
29837859  17:39:00             ts-delivery-service-79c46f4f45-r5pwb               846.485           848.381                 -             0.002         431026176
29837859  17:39:00             ts-delivery-service-79c46f4f45-tvmfl               846.560           847.557                 -             0.002         435548160
29837859  17:39:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         409751552
29837860  17:40:00             ts-delivery-service-79c46f4f45-bmgvs               846.222           848.080                 -             0.002         437583872
29837860  17:40:00             ts-delivery-service-79c46f4f45-r5pwb               847.048           848.283                 -             0.002         431022080
29837860  17:40:00             ts-delivery-service-79c46f4f45-tvmfl               846.497           847.570                 -             0.001         435515392
29837860  17:40:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         409833472
29837861  17:41:00             ts-delivery-service-79c46f4f45-bmgvs               846.260           847.477                 -             0.002         437501952
29837861  17:41:00             ts-delivery-service-79c46f4f45-r5pwb               846.557           847.652                 -             0.002         431181824
29837861  17:41:00             ts-delivery-service-79c46f4f45-tvmfl               846.346           847.453                 -             0.002         435609600
29837861  17:41:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         409751552
29837862  17:42:00             ts-delivery-service-79c46f4f45-bmgvs               846.548           847.481                 -             0.002         437501952
29837862  17:42:00             ts-delivery-service-79c46f4f45-r5pwb               847.203           848.588                 -             0.002         431050752
29837862  17:42:00             ts-delivery-service-79c46f4f45-tvmfl               845.989           847.453                 -             0.001         435515392
29837862  17:42:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         409751552
29837863  17:43:00             ts-delivery-service-79c46f4f45-bmgvs               846.442           847.136                 -             0.002         437501952
29837863  17:43:00             ts-delivery-service-79c46f4f45-r5pwb               846.892           848.218                 -             0.002         431054848
29837863  17:43:00             ts-delivery-service-79c46f4f45-tvmfl               846.328           847.193                 -             0.002         435519488
29837863  17:43:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         409751552
29837864  17:44:00             ts-delivery-service-79c46f4f45-bmgvs               846.514           847.451                 -             0.002         437506048
29837864  17:44:00             ts-delivery-service-79c46f4f45-r5pwb               846.193           847.241                 -             0.002         431026176
29837864  17:44:00             ts-delivery-service-79c46f4f45-tvmfl               846.325           847.371                 -             0.001         435830784
29837864  17:44:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         409751552
29837865  17:45:00             ts-delivery-service-79c46f4f45-bmgvs               846.663           847.726                 -             0.001         437506048
29837865  17:45:00             ts-delivery-service-79c46f4f45-r5pwb               846.201           847.626                 -             0.001         431136768
29837865  17:45:00             ts-delivery-service-79c46f4f45-tvmfl               846.160           847.859                 -             0.002         435531776
29837865  17:45:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         409751552
29837866  17:46:00             ts-delivery-service-79c46f4f45-bmgvs               846.675           849.402                 -             0.003         437526528
29837866  17:46:00             ts-delivery-service-79c46f4f45-r5pwb               846.410           847.473                 -             0.002         431136768
29837866  17:46:00             ts-delivery-service-79c46f4f45-tvmfl               846.385           848.043                 -             0.002         435597312
29837866  17:46:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         409751552
29837867  17:47:00             ts-delivery-service-79c46f4f45-bmgvs               846.534           847.641                 -             0.002         437522432
29837867  17:47:00             ts-delivery-service-79c46f4f45-r5pwb               846.335           847.903                 -             0.001         431132672
29837867  17:47:00             ts-delivery-service-79c46f4f45-tvmfl               846.171           847.841                 -             0.002         435572736
29837867  17:47:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         409776128
29837868  17:48:00             ts-delivery-service-79c46f4f45-bmgvs               846.100           847.430                 -             0.002         437522432
29837868  17:48:00             ts-delivery-service-79c46f4f45-r5pwb               846.434           847.767                 -             0.002         431067136
29837868  17:48:00             ts-delivery-service-79c46f4f45-tvmfl               846.006           846.955                 -             0.001         435539968
29837868  17:48:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         409776128
29837869  17:49:00             ts-delivery-service-79c46f4f45-bmgvs               846.724           849.015                 -             0.003         437542912
29837869  17:49:00             ts-delivery-service-79c46f4f45-r5pwb               846.472           847.946                 -             0.002         431136768
29837869  17:49:00             ts-delivery-service-79c46f4f45-tvmfl               846.380           847.494                 -             0.001         435535872
29837869  17:49:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         409776128
29837870  17:50:00             ts-delivery-service-79c46f4f45-bmgvs               846.233           847.869                 -             0.002         437538816
29837870  17:50:00             ts-delivery-service-79c46f4f45-r5pwb               846.544           847.727                 -             0.002         431038464
29837870  17:50:00             ts-delivery-service-79c46f4f45-tvmfl               846.022           847.973                 -             0.002         435539968
29837870  17:50:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         409776128
29837871  17:51:00             ts-delivery-service-79c46f4f45-bmgvs               846.157           847.534                 -             0.001         437538816
29837871  17:51:00             ts-delivery-service-79c46f4f45-r5pwb               846.182           847.615                 -             0.002         431034368
29837871  17:51:00             ts-delivery-service-79c46f4f45-tvmfl               846.272           847.357                 -             0.001         435556352
29837871  17:51:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         409776128
29837872  17:52:00             ts-delivery-service-79c46f4f45-bmgvs               846.186           847.351                 -             0.002         437542912
29837872  17:52:00             ts-delivery-service-79c46f4f45-r5pwb               846.341           847.631                 -             0.002         431034368
29837872  17:52:00             ts-delivery-service-79c46f4f45-tvmfl               846.318           847.532                 -             0.002         435535872
29837872  17:52:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         409776128
29837873  17:53:00             ts-delivery-service-79c46f4f45-bmgvs               846.322           848.074                 -             0.001         437538816
29837873  17:53:00             ts-delivery-service-79c46f4f45-r5pwb               846.266           847.952                 -             0.002         431181824
29837873  17:53:00             ts-delivery-service-79c46f4f45-tvmfl               846.270           847.601                 -             0.001         435535872
29837873  17:53:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         409776128
29837874  17:54:00             ts-delivery-service-79c46f4f45-bmgvs               846.569           847.601                 -             0.002         437538816
29837874  17:54:00             ts-delivery-service-79c46f4f45-r5pwb               846.494           847.916                 -             0.002         431149056
29837874  17:54:00             ts-delivery-service-79c46f4f45-tvmfl               846.254           847.721                 -             0.002         435556352
29837874  17:54:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         409780224
29837875  17:55:00             ts-delivery-service-79c46f4f45-bmgvs               846.454           848.118                 -             0.002         437538816
29837875  17:55:00             ts-delivery-service-79c46f4f45-r5pwb               847.094           848.844                 -             0.002         431214592
29837875  17:55:00             ts-delivery-service-79c46f4f45-tvmfl               846.570           847.454                 -             0.002         435613696
29837875  17:55:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         409776128
29837876  17:56:00             ts-delivery-service-79c46f4f45-bmgvs               846.329           847.469                 -             0.002         437538816
29837876  17:56:00             ts-delivery-service-79c46f4f45-r5pwb               846.222           847.845                 -             0.001         431185920
29837876  17:56:00             ts-delivery-service-79c46f4f45-tvmfl               846.227           847.607                 -             0.002         435322880
29837876  17:56:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         409776128
29837877  17:57:00             ts-delivery-service-79c46f4f45-bmgvs               846.374           848.165                 -             0.002         437542912
29837877  17:57:00             ts-delivery-service-79c46f4f45-r5pwb               846.585           848.251                 -             0.003         431194112
29837877  17:57:00             ts-delivery-service-79c46f4f45-tvmfl               846.002           847.517                 -             0.001         435322880
29837877  17:57:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         409776128
29837878  17:58:00             ts-delivery-service-79c46f4f45-bmgvs               846.325           847.896                 -             0.002         437592064
29837878  17:58:00             ts-delivery-service-79c46f4f45-r5pwb               846.657           847.754                 -             0.002         431157248
29837878  17:58:00             ts-delivery-service-79c46f4f45-tvmfl               846.529           847.594                 -             0.002         435449856
29837878  17:58:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         409776128
29837879  17:59:00             ts-delivery-service-79c46f4f45-bmgvs               846.713           847.370                 -             0.002         437596160
29837879  17:59:00             ts-delivery-service-79c46f4f45-r5pwb               846.326           847.803                 -             0.002         431190016
29837879  17:59:00             ts-delivery-service-79c46f4f45-tvmfl               846.331           847.501                 -             0.002         435490816
29837879  17:59:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         409776128
29837880  18:00:00             ts-delivery-service-79c46f4f45-bmgvs               846.261           847.961                 -             0.002         437592064
29837880  18:00:00             ts-delivery-service-79c46f4f45-r5pwb               846.675           847.621                 -             0.002         431190016
29837880  18:00:00             ts-delivery-service-79c46f4f45-tvmfl               845.903           847.122                 -             0.002         435552256
29837880  18:00:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         409776128
29837881  18:01:00             ts-delivery-service-79c46f4f45-bmgvs               846.927           847.888                 -             0.002         437596160
29837881  18:01:00             ts-delivery-service-79c46f4f45-r5pwb               846.506           848.164                 -             0.002         431296512
29837881  18:01:00             ts-delivery-service-79c46f4f45-tvmfl               845.894           847.734                 -             0.002         435556352
29837881  18:01:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         409776128
29837882  18:02:00             ts-delivery-service-79c46f4f45-bmgvs               846.608           847.716                 -             0.002         437559296
29837882  18:02:00             ts-delivery-service-79c46f4f45-r5pwb               846.428           847.511                 -             0.002         431304704
29837882  18:02:00             ts-delivery-service-79c46f4f45-tvmfl               846.129           847.307                 -             0.001         435322880
29837882  18:02:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         409776128
29837883  18:03:00             ts-delivery-service-79c46f4f45-bmgvs               846.256           847.504                 -             0.002         437592064
29837883  18:03:00             ts-delivery-service-79c46f4f45-r5pwb               846.341           847.878                 -             0.001         431300608
29837883  18:03:00             ts-delivery-service-79c46f4f45-tvmfl               846.390           847.656                 -             0.002         435552256
29837883  18:03:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         409776128
29837884  18:04:00             ts-delivery-service-79c46f4f45-bmgvs               706.799           847.784                 -             0.002         437596160
29837884  18:04:00             ts-delivery-service-79c46f4f45-r5pwb               707.327           847.399                 -             0.002         431304704
29837884  18:04:00             ts-delivery-service-79c46f4f45-tvmfl               845.323           847.348                 -             0.002         435445760
29837884  18:04:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         409780224
29837885  18:05:00             ts-delivery-service-79c46f4f45-bmgvs               705.924           846.308                 -             0.002         437628928
29837885  18:05:00             ts-delivery-service-79c46f4f45-r5pwb               706.033           846.460                 -             0.002         431304704
29837885  18:05:00             ts-delivery-service-79c46f4f45-tvmfl               705.750           845.707                 -             0.002         435666944
29837885  18:05:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         409776128
29837886  18:06:00             ts-delivery-service-79c46f4f45-bmgvs               705.910           845.249                 -             0.003         437608448
29837886  18:06:00             ts-delivery-service-79c46f4f45-r5pwb               706.079           847.011                 -             0.002         431304704
