# Lecture du graphe construit par run.py — runs/20260913-012933
# plage 2026-09-12 21:17 -> 23:27, fenêtres de 60 s
# fenêtres gardées : 130

queue: food_delivery    run: runs/20260913-012933
window  start_utc                   backlog  backlog_slope   publish_rate   consume_rate rate_imbalance      consumers
29820797  21:17:00                      1.000              -          3.533          3.517          0.017          3.000
29820798  21:18:00                      2.000          1.000          3.533          3.550         -0.017          3.000
29820799  21:19:00                     19.000          9.000          4.317          3.917          0.400          3.000
29820800  21:20:00                     83.000         40.500          5.250          4.250          1.000          3.000
29820801  21:21:00                    120.000         50.500          4.900          4.250          0.650          3.000
29820802  21:22:00                    157.000         37.000          4.850          4.250          0.600          3.000
29820803  21:23:00                    200.000         40.000          5.033          4.250          0.783          3.000
29820804  21:24:00                    250.000         46.500          5.117          4.217          0.900          3.000
29820805  21:25:00                    304.000         52.000          5.150          4.250          0.900          3.000
29820806  21:26:00                    353.000         51.500          5.083          4.250          0.833          3.000
29820807  21:27:00                    405.000         50.500          5.050          4.233          0.817          3.000
29820808  21:28:00                    449.000         48.000          4.983          4.250          0.733          3.000
29820809  21:29:00                    510.000         52.500          5.083          4.250          0.833          3.000
29820810  21:30:00                    520.000         35.500          4.583          4.250          0.333          3.000
29820811  21:31:00                    566.000         28.000          4.933          4.250          0.683          3.000
29820812  21:32:00                    623.000         51.500          5.233          4.250          0.983          3.000
29820813  21:33:00                    662.000         48.000          4.900          4.250          0.650          3.000
29820814  21:34:00                    708.000         42.500          4.917          4.250          0.667          3.000
29820815  21:35:00                    733.000         35.500          4.683          4.200          0.483          3.000
29820816  21:36:00                    764.000         28.000          4.800          4.250          0.550          3.000
29820817  21:37:00                    803.000         35.000          4.817          4.217          0.600          3.000
29820818  21:38:00                    833.000         34.500          4.833          4.250          0.583          3.000
29820819  21:39:00                    829.000         13.000          3.933          4.217         -0.283          3.000
29820820  21:40:00                    786.000        -23.500          3.517          4.250         -0.733          3.000
29820821  21:41:00                    740.000        -44.500          3.483          4.217         -0.733          3.000
29820822  21:42:00                    680.000        -53.000          3.250          4.250         -1.000          3.000
29820823  21:43:00                    623.000        -58.500          3.350          4.250         -0.900          3.000
29820824  21:44:00                    587.000        -46.500          3.583          4.250         -0.667          3.000
29820825  21:45:00                    531.000        -46.000          3.383          4.250         -0.867          3.000
29820826  21:46:00                    481.000        -53.000          3.500          4.233         -0.733          3.000
29820827  21:47:00                    446.000        -42.500          3.467          4.250         -0.783          3.000
29820828  21:48:00                    393.000        -44.000          3.450          4.250         -0.800          3.000
29820829  21:49:00                    358.000        -44.000          3.700          4.250         -0.550          3.000
29820830  21:50:00                    318.000        -37.500          3.567          4.217         -0.650          3.000
29820831  21:51:00                    275.000        -41.500          3.450          4.250         -0.800          3.000
29820832  21:52:00                    234.000        -42.000          3.567          4.250         -0.683          3.000
29820833  21:53:00                    209.000        -33.000          3.967          4.250         -0.283          3.000
29820834  21:54:00                    174.000        -30.000          3.600          4.250         -0.650          3.000
29820835  21:55:00                    127.000        -41.000          3.400          4.250         -0.850          3.000
29820836  21:56:00                     77.000        -48.500          3.450          4.233         -0.783          3.000
29820837  21:57:00                     40.000        -43.500          3.550          4.250         -0.700          3.000
29820838  21:58:00                      0.000        -38.500          3.650          4.167         -0.517          3.000
29820839  21:59:00                      0.000        -20.000          3.600          3.617         -0.017          3.000
29820840  22:00:00                      1.000          0.500          3.683          3.667          0.017          3.000
29820841  22:01:00                      0.000          0.000          3.550          3.550          0.000          3.000
29820842  22:02:00                      0.000         -0.500          3.483          3.483          0.000          3.000
29820843  22:03:00                      0.000          0.000          3.633          3.650         -0.017          3.000
29820844  22:04:00                     29.000         14.500          4.467          4.017          0.450          3.000
29820845  22:05:00                     67.000         33.500          4.983          4.217          0.767          3.000
29820846  22:06:00                    113.000         42.000          4.867          4.200          0.667          3.000
29820847  22:07:00                    152.000         42.500          4.850          4.250          0.600          3.000
29820848  22:08:00                    185.000         36.000          4.767          4.233          0.533          3.000
29820849  22:09:00                    228.000         38.000          4.950          4.217          0.733          3.000
29820850  22:10:00                    267.000         41.000          4.983          4.250          0.733          3.000
