# Lecture du graphe construit par run.py — runs/20260926-042549
# plage 2026-09-13 06:15 -> 08:25, fenêtres de 60 s
# fenêtres gardées : 130

queue: food_delivery    run: runs/20260926-042549
window  start_utc                   backlog  backlog_slope   publish_rate   consume_rate rate_imbalance      consumers
29821335  06:15:00                      1.000              -          3.217          3.217          0.000          3.000
29821336  06:16:00                      5.000          4.000          3.517          3.517          0.000          3.000
29821337  06:17:00                     27.000         13.000          3.417          2.950          0.467          3.000
29821338  06:18:00                     77.000         36.000          3.567          2.833          0.733          3.000
29821339  06:19:00                    108.000         40.500          3.433          2.817          0.617          3.000
29821340  06:20:00                    154.000         38.500          3.583          2.833          0.750          2.000
29821341  06:21:00                    194.000         43.000          3.550          2.817          0.733          2.000
29821342  06:22:00                    246.000         46.000          3.567          2.833          0.733          2.000
29821343  06:23:00                    281.000         43.500          3.317          2.833          0.483          2.000
29821344  06:24:00                    320.000         37.000          3.617          2.833          0.783          2.000
29821345  06:25:00                    362.000         40.500          3.500          2.833          0.667          2.000
29821346  06:26:00                    405.000         42.500          3.517          2.800          0.717          2.000
29821347  06:27:00                    441.000         39.500          3.400          2.833          0.567          2.000
29821348  06:28:00                    477.000         36.000          3.567          2.817          0.750          2.000
29821349  06:29:00                    523.000         41.000          3.450          2.833          0.617          2.000
29821350  06:30:00                    550.000         36.500          3.400          2.800          0.600          2.000
29821351  06:31:00                    598.000         37.500          3.550          2.833          0.717          2.000
29821352  06:32:00                    631.000         40.500          3.467          2.833          0.633          2.000
29821353  06:33:00                    680.000         41.000          3.500          2.817          0.683          2.000
29821354  06:34:00                    709.000         39.000          3.367          2.833          0.533          2.000
29821355  06:35:00                    738.000         29.000          3.383          2.833          0.550          2.000
29821356  06:36:00                    781.000         36.000          3.500          2.833          0.667          2.000
29821357  06:37:00                    784.000         23.000          3.800          3.933         -0.133          3.000
29821358  06:38:00                    744.000        -18.500          3.550          4.250         -0.700          3.000
29821359  06:39:00                    674.000        -55.000          3.167          4.217         -1.050          3.000
29821360  06:40:00                    634.000        -55.000          3.450          4.233         -0.783          3.000
29821361  06:41:00                    588.000        -43.000          3.467          4.250         -0.783          3.000
29821362  06:42:00                    536.000        -49.000          3.483          4.250         -0.767          3.000
29821363  06:43:00                    491.000        -48.500          3.550          4.250         -0.700          3.000
29821364  06:44:00                    450.000        -43.000          3.417          4.250         -0.833          3.000
29821365  06:45:00                    427.000        -32.000          3.800          4.250         -0.450          3.000
29821366  06:46:00                    380.000        -35.000          3.683          4.250         -0.567          3.000
29821367  06:47:00                    340.000        -43.500          3.450          4.200         -0.750          3.000
29821368  06:48:00                    295.000        -42.500          3.500          4.250         -0.750          3.000
29821369  06:49:00                    240.000        -50.000          3.400          4.250         -0.850          3.000
29821370  06:50:00                    196.000        -49.500          3.467          4.250         -0.783          3.000
29821371  06:51:00                    172.000        -34.000          3.783          4.250         -0.467          3.000
29821372  06:52:00                    119.000        -38.500          3.450          4.250         -0.800          3.000
29821373  06:53:00                     68.000        -52.000          3.317          4.250         -0.933          3.000
29821374  06:54:00                     19.000        -50.000          3.650          4.250         -0.600          3.000
29821375  06:55:00                      5.000        -31.500          3.433          3.750         -0.317          3.000
29821376  06:56:00                      2.000         -8.500          3.517          3.517          0.000          3.000
29821377  06:57:00                      5.000          0.000          3.433          3.433          0.000          3.000
