# Lecture du graphe construit par run.py — runs/20260926-041410
# plage 2026-09-13 02:33 -> 03:28, fenêtres de 60 s
# fenêtres gardées : 55

queue: food_delivery    run: runs/20260926-041410
window  start_utc                   backlog  backlog_slope   publish_rate   consume_rate rate_imbalance      consumers
29821113  02:33:00                      0.000              -          1.567          1.567          0.000          3.000
29821114  02:34:00                      0.000          0.000          1.500          1.500          0.000          3.000
29821115  02:35:00                      0.000          0.000          1.417          1.417          0.000          3.000
29821116  02:36:00                      1.000          0.500          1.300          1.300          0.000          3.000
29821117  02:37:00                      0.000          0.000          1.433          1.433          0.000          3.000
29821118  02:38:00                      0.000         -0.500          1.450          1.450          0.000          3.000
29821119  02:39:00                      0.000          0.000          1.483          1.483          0.000          3.000
29821120  02:40:00                      0.000          0.000          1.300          1.300          0.000          3.000
29821121  02:41:00                      0.000          0.000          1.467          1.467          0.000          3.000
29821122  02:42:00                      0.000          0.000          1.300          1.300          0.000          3.000
29821123  02:43:00                      0.000          0.000          1.383          1.383          0.000          3.000
29821124  02:44:00                      0.000          0.000          1.617          1.617          0.000          3.000
29821125  02:45:00                      2.000          1.000          2.633          2.617          0.017          3.000
29821126  02:46:00                      4.000          2.000          3.550          3.467          0.083          3.000
29821127  02:47:00                      0.000         -1.000          3.333          3.383         -0.050          3.000
29821128  02:48:00                      0.000         -2.000          3.567          3.550          0.017          3.000
29821129  02:49:00                      2.000          1.000          3.600          3.600          0.000          3.000
29821130  02:50:00                      0.000          0.000          3.433          3.450         -0.017          3.000
29821131  02:51:00                      3.000          0.500          3.433          3.467         -0.033          3.000
29821132  02:52:00                      0.000          0.000          3.367          3.333          0.033          3.000
29821133  02:53:00                      0.000         -1.500          3.433          3.450         -0.017          3.000
29821134  02:54:00                      3.000          1.500          3.333          3.333          0.000          3.000
29821135  02:55:00                      5.000          2.500          3.450          3.483         -0.033          3.000
29821136  02:56:00                      0.000         -1.500          3.650          3.600          0.050          3.000
29821137  02:57:00                      3.000         -1.000          3.283          3.300         -0.017          3.000
29821138  02:58:00                      3.000          1.500          3.567          3.567          0.000          3.000
29821139  02:59:00                      1.000         -1.000          3.733          3.717          0.017          3.000
29821140  03:00:00                      0.000         -1.500          3.333          3.350         -0.017          3.000
29821141  03:01:00                      1.000          0.000          3.533          3.533          0.000          3.000
29821142  03:02:00                      5.000          2.500          3.650          3.650          0.000          3.000
29821143  03:03:00                      1.000          0.000          3.617          3.567          0.050          3.000
29821144  03:04:00                      0.000         -2.500          3.667          3.683         -0.017          3.000
