# Lecture du graphe construit par run.py — runs/20260913-040047
# plage 2026-09-12 23:46 -> 01:56, fenêtres de 60 s
# fenêtres gardées : 130

queue: food_delivery    run: runs/20260913-040047
window  start_utc                   backlog  backlog_slope   publish_rate   consume_rate rate_imbalance      consumers
29820946  23:46:00                      3.000              -          3.650          3.683         -0.033          3.000
29820947  23:47:00                      2.000         -1.000          3.250          3.250          0.000          3.000
29820948  23:48:00                      5.000          1.000          3.550          3.500          0.050          3.000
29820949  23:49:00                     28.000         13.000          4.783          4.250          0.533          3.000
29820950  23:50:00                     73.000         34.000          4.950          4.233          0.717          3.000
29820951  23:51:00                    113.000         42.500          4.833          4.250          0.583          3.000
29820952  23:52:00                    144.000         35.500          4.700          4.233          0.467          3.000
29820953  23:53:00                    186.000         36.500          5.083          4.250          0.833          3.000
29820954  23:54:00                    222.000         39.000          4.783          4.250          0.533          3.000
29820955  23:55:00                    256.000         35.000          4.833          4.250          0.583          3.000
29820956  23:56:00                    296.000         37.000          4.817          4.250          0.567          3.000
29820957  23:57:00                    321.000         32.500          4.800          4.217          0.583          3.000
29820958  23:58:00                    353.000         28.500          4.783          4.250          0.533          3.000
29820959  23:59:00                    395.000         37.000          4.883          4.250          0.633          3.000
29820960  00:00:00                    442.000         44.500          4.950          4.250          0.700          3.000
29820961  00:01:00                    469.000         37.000          4.817          4.233          0.583          3.000
29820962  00:02:00                    519.000         38.500          5.050          4.250          0.800          3.000
29820963  00:03:00                    546.000         38.500          4.667          4.217          0.450          3.000
29820964  00:04:00                    588.000         34.500          4.917          4.250          0.667          3.000
29820965  00:05:00                    625.000         39.500          4.867          4.233          0.633          3.000
29820966  00:06:00                    658.000         35.000          4.783          4.217          0.567          3.000
29820967  00:07:00                    706.000         40.500          4.983          4.250          0.733          3.000
29820968  00:08:00                    737.000         39.500          4.767          4.233          0.533          3.000
29820969  00:09:00                    698.000         -4.000          3.500          4.250         -0.750          3.000
29820970  00:10:00                    649.000        -44.000          3.383          4.233         -0.850          3.000
29820971  00:11:00                    600.000        -49.000          3.533          4.250         -0.717          3.000
29820972  00:12:00                    553.000        -48.000          3.500          4.250         -0.750          3.000
29820973  00:13:00                    504.000        -48.000          3.400          4.250         -0.850          3.000
29820974  00:14:00                    466.000        -43.500          3.533          4.233         -0.700          3.000
29820975  00:15:00                    425.000        -39.500          3.483          4.250         -0.767          3.000
29820976  00:16:00                    364.000        -51.000          3.333          4.233         -0.900          3.000
29820977  00:17:00                    311.000        -57.000          3.433          4.233         -0.800          3.000
29820978  00:18:00                    273.000        -45.500          3.667          4.250         -0.583          3.000
29820979  00:19:00                    243.000        -34.000          3.533          4.250         -0.717          3.000
29820980  00:20:00                    207.000        -33.000          3.633          4.233         -0.600          3.000
29820981  00:21:00                    171.000        -36.000          3.800          4.250         -0.450          3.000
29820982  00:22:00                    120.000        -43.500          3.400          4.250         -0.850          3.000
29820983  00:23:00                     82.000        -44.500          3.433          4.250         -0.817          3.000
29820984  00:24:00                     29.000        -45.500          3.417          4.250         -0.833          3.000
29820985  00:25:00                      0.000        -41.000          3.550          3.883         -0.333          3.000
29820986  00:26:00                      0.000        -14.500          3.383          3.400         -0.017          3.000
29820987  00:27:00                      4.000          2.000          3.317          3.300          0.017          3.000
29820988  00:28:00                      0.000          0.000          3.400          3.417         -0.017          3.000
29820989  00:29:00                      0.000         -2.000          3.300          3.283          0.017          3.000
29820990  00:30:00                      1.000          0.500          3.500          3.500          0.000          3.000
29820991  00:31:00                      0.000          0.000          3.417          3.400          0.017          3.000
29820992  00:32:00                      0.000         -0.500          3.333          3.333          0.000          3.000
29820993  00:33:00                      0.000          0.000          3.467          3.450          0.017          3.000
29820994  00:34:00                     30.000         15.000          4.700          4.217          0.483          3.000
29820995  00:35:00                     75.000         37.500          5.083          4.250          0.833          3.000
29820996  00:36:00                    137.000         53.500          5.300          4.250          1.050          3.000
29820997  00:37:00                    179.000         52.000          4.833          4.250          0.583          3.000
29820998  00:38:00                    230.000         46.500          5.050          4.233          0.817          3.000
29820999  00:39:00                    247.000         34.000          4.667          4.250          0.417          3.000
29821000  00:40:00                    302.000         36.000          5.033          4.250          0.783          3.000
29821001  00:41:00                    344.000         48.500          5.000          4.233          0.767          3.000
29821002  00:42:00                    382.000         40.000          4.817          4.233          0.583          3.000
29821003  00:43:00                    398.000         27.000          4.383          4.250          0.133          3.000
29821004  00:44:00                    420.000         19.000          4.817          4.250          0.567          3.000
29821005  00:45:00                    462.000         32.000          4.933          4.250          0.683          3.000
29821006  00:46:00                    503.000         41.500          4.967          4.250          0.717          3.000
29821007  00:47:00                    523.000         30.500          4.667          4.250          0.417          3.000
29821008  00:48:00                    568.000         32.500          4.933          4.233          0.700          3.000
29821009  00:49:00                    626.000         51.500          5.200          4.250          0.950          3.000
29821010  00:50:00                    651.000         41.500          4.333          4.250          0.083          3.000
29821011  00:51:00                    579.000        -23.500          3.100          4.217         -1.117          3.000
29821012  00:52:00                    498.000        -76.500          2.950          4.250         -1.300          3.000
29821013  00:53:00                    428.000        -75.500          3.067          4.250         -1.183          3.000
29821014  00:54:00                    362.000        -68.000          3.167          4.250         -1.083          3.000
29821015  00:55:00                    319.000        -54.500          3.550          4.250         -0.700          3.000
29821016  00:56:00                    280.000        -41.000          3.617          4.250         -0.633          3.000
29821017  00:57:00                    239.000        -40.000          3.567          4.233         -0.667          3.000
29821018  00:58:00                    197.000        -41.500          3.533          4.250         -0.717          3.000
29821019  00:59:00                    142.000        -48.500          3.350          4.233         -0.883          3.000
29821020  01:00:00                     93.000        -52.000          3.467          4.233         -0.767          3.000
29821021  01:01:00                     60.000        -41.000          3.617          4.250         -0.633          3.000
29821022  01:02:00                     17.000        -38.000          3.517          4.217         -0.700          3.000
29821023  01:03:00                      0.000        -30.000          3.433          3.667         -0.233          3.000
29821024  01:04:00                      2.000         -7.500          3.517          3.467          0.050          3.000
29821025  01:05:00                      1.000          0.500          3.333          3.383         -0.050          3.000
29821026  01:06:00                      1.000         -0.500          3.517          3.467          0.050          3.000
29821027  01:07:00                      3.000          1.000          3.683          3.733         -0.050          3.000
29821028  01:08:00                      0.000         -0.500          3.383          3.383          0.000          3.000
29821029  01:09:00                      3.000          0.000          1.917          1.900          0.017          3.000
29821030  01:10:00                      0.000          0.000          1.617          1.633         -0.017          3.000
29821031  01:11:00                      0.000         -1.500          1.267          1.267          0.000          3.000
29821032  01:12:00                      0.000          0.000          1.300          1.300          0.000          3.000
29821033  01:13:00                      0.000          0.000          0.967          0.967          0.000          3.000
29821034  01:14:00                      2.000          1.000          3.467          3.450          0.017          3.000
29821035  01:15:00                      0.000          0.000          3.633          3.633          0.000          3.000
29821036  01:16:00                      0.000         -1.000          2.917          2.933         -0.017          3.000
29821037  01:17:00                      0.000          0.000          1.567          1.567          0.000          3.000
29821038  01:18:00                      0.000          0.000          1.433          1.433          0.000          3.000
29821039  01:19:00                      0.000          0.000          1.150          1.150          0.000          3.000
29821040  01:20:00                      0.000          0.000          1.133          1.133          0.000          3.000
29821041  01:21:00                      0.000          0.000          1.033          1.033          0.000          3.000
29821042  01:22:00                      0.000          0.000          1.200          1.200          0.000          3.000
29821043  01:23:00                      1.000          0.500          1.167          1.167          0.000          3.000
29821044  01:24:00                      0.000          0.000          1.933          1.933          0.000          3.000
29821045  01:25:00                      0.000         -0.500          2.083          1.833          0.250          3.000
29821046  01:26:00                      0.000          0.000          3.283          3.533         -0.250          3.000
29821047  01:27:00                      0.000          0.000          0.983          0.983          0.000          3.000
29821048  01:28:00                      0.000          0.000          1.333          1.333          0.000          3.000
29821049  01:29:00                      1.000          0.500          1.200          1.200          0.000          3.000
29821050  01:30:00                      0.000          0.000          1.033          1.033          0.000          3.000
29821051  01:31:00                      0.000         -0.500          0.783          0.783          0.000          3.000
29821052  01:32:00                      0.000          0.000          0.800          0.800          0.000          3.000
29821053  01:33:00                      0.000          0.000          1.250          1.250          0.000          3.000
29821054  01:34:00                      0.000          0.000          0.700          0.700          0.000          3.000
29821055  01:35:00                      0.000          0.000          0.817          0.817          0.000          3.000
29821056  01:36:00                      0.000          0.000          1.167          1.167          0.000          3.000
29821057  01:37:00                      0.000          0.000          1.700          1.700          0.000          3.000
29821058  01:38:00                      0.000          0.000          2.467          2.467          0.000          3.000
29821059  01:39:00                      0.000          0.000          0.567          0.567          0.000          3.000
29821060  01:40:00                      0.000          0.000          0.317          0.317          0.000          3.000
29821061  01:41:00                      1.000          0.500          2.817          2.750          0.067          3.000
29821062  01:42:00                      0.000          0.000          1.500          1.567         -0.067          3.000
29821063  01:43:00                      0.000         -0.500          1.567          1.567          0.000          3.000
29821064  01:44:00                      0.000          0.000          0.967          0.967          0.000          3.000
29821065  01:45:00                      0.000          0.000          2.117          2.117          0.000          3.000
29821066  01:46:00                      1.000          0.500          1.650          1.650          0.000          3.000
29821067  01:47:00                      0.000          0.000          1.550          1.550          0.000          3.000
29821068  01:48:00                      0.000         -0.500          0.983          0.983          0.000          3.000
29821069  01:49:00                      0.000          0.000          0.317          0.317          0.000          3.000
29821070  01:50:00                      0.000          0.000          0.450          0.450          0.000          3.000
29821071  01:51:00                      0.000          0.000          0.667          0.667          0.000          3.000
29821072  01:52:00                      0.000          0.000          0.733          0.733          0.000          3.000
29821073  01:53:00                      0.000          0.000          0.950          0.950          0.000          3.000
29821074  01:54:00                      0.000          0.000          0.550          0.550          0.000          3.000
29821075  01:55:00                      0.000          0.000          1.117          1.117          0.000          3.000

instances containing 'delivery'    run: runs/20260913-040047
window  start_utc            instance                                  process_time_p50  process_time_p95       error_ratio          cpu_rate       memory_used
29820946  23:46:00             ts-delivery-service-79c46f4f45-bmgvs               705.956           846.296                 -             0.002         423456768
29820946  23:46:00             ts-delivery-service-79c46f4f45-r5pwb               705.961           846.434                 -             0.003         418635776
29820946  23:46:00             ts-delivery-service-79c46f4f45-tvmfl               705.632           846.049                 -             0.003         423223296
29820946  23:46:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         421097472
29820947  23:47:00             ts-delivery-service-79c46f4f45-bmgvs               705.925           847.173                 -             0.003         423522304
29820947  23:47:00             ts-delivery-service-79c46f4f45-r5pwb               706.213           847.315                 -             0.003         418537472
29820947  23:47:00             ts-delivery-service-79c46f4f45-tvmfl               705.678           846.936                 -             0.003         423297024
29820947  23:47:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         421101568
29820948  23:48:00             ts-delivery-service-79c46f4f45-bmgvs               705.727           845.890                 -             0.002         423522304
29820948  23:48:00             ts-delivery-service-79c46f4f45-r5pwb               705.861           846.218                 -             0.002         418537472
29820948  23:48:00             ts-delivery-service-79c46f4f45-tvmfl               705.604           845.846                 -             0.003         423292928
29820948  23:48:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         421101568
29820949  23:49:00             ts-delivery-service-79c46f4f45-bmgvs               705.255           706.158                 -             0.004         423501824
29820949  23:49:00             ts-delivery-service-79c46f4f45-r5pwb               705.321           706.166                 -             0.002         418631680
29820949  23:49:00             ts-delivery-service-79c46f4f45-tvmfl               705.368           706.330                 -             0.002         423292928
29820949  23:49:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         421097472
29820950  23:50:00             ts-delivery-service-79c46f4f45-bmgvs               705.758           706.986                 -             0.003         423501824
29820950  23:50:00             ts-delivery-service-79c46f4f45-r5pwb               705.682           706.783                 -             0.003         418639872
29820950  23:50:00             ts-delivery-service-79c46f4f45-tvmfl               706.379           707.548                 -             0.004         423292928
29820950  23:50:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         421101568
29820951  23:51:00             ts-delivery-service-79c46f4f45-bmgvs               705.705           706.606                 -             0.002         423456768
29820951  23:51:00             ts-delivery-service-79c46f4f45-r5pwb               705.907           706.934                 -             0.003         418541568
29820951  23:51:00             ts-delivery-service-79c46f4f45-tvmfl               706.342           707.230                 -             0.003         423309312
29820951  23:51:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         421097472
29820952  23:52:00             ts-delivery-service-79c46f4f45-bmgvs               705.563           706.772                 -             0.003         423456768
29820952  23:52:00             ts-delivery-service-79c46f4f45-r5pwb               705.685           706.863                 -             0.003         418607104
29820952  23:52:00             ts-delivery-service-79c46f4f45-tvmfl               706.007           707.235                 -             0.004         423276544
29820952  23:52:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         421097472
29820953  23:53:00             ts-delivery-service-79c46f4f45-bmgvs               705.764           706.893                 -             0.002         423456768
29820953  23:53:00             ts-delivery-service-79c46f4f45-r5pwb               705.720           706.838                 -             0.003         418869248
29820953  23:53:00             ts-delivery-service-79c46f4f45-tvmfl               705.835           707.313                 -             0.003         423276544
29820953  23:53:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         421097472
29820954  23:54:00             ts-delivery-service-79c46f4f45-bmgvs               705.915           706.946                 -             0.003         423460864
29820954  23:54:00             ts-delivery-service-79c46f4f45-r5pwb               705.692           707.252                 -             0.003         418586624
29820954  23:54:00             ts-delivery-service-79c46f4f45-tvmfl               705.699           706.899                 -             0.004         423276544
29820954  23:54:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         421097472
29820955  23:55:00             ts-delivery-service-79c46f4f45-bmgvs               705.777           706.744                 -             0.003         423526400
29820955  23:55:00             ts-delivery-service-79c46f4f45-r5pwb               705.702           706.961                 -             0.003         418586624
29820955  23:55:00             ts-delivery-service-79c46f4f45-tvmfl               705.640           706.774                 -             0.003         423297024
29820955  23:55:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         421097472
29820956  23:56:00             ts-delivery-service-79c46f4f45-bmgvs               705.612           706.723                 -             0.003         423526400
29820956  23:56:00             ts-delivery-service-79c46f4f45-r5pwb               705.591           706.856                 -             0.003         418586624
29820956  23:56:00             ts-delivery-service-79c46f4f45-tvmfl               705.680           706.977                 -             0.004         423329792
29820956  23:56:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         421097472
29820957  23:57:00             ts-delivery-service-79c46f4f45-bmgvs               705.441           706.484                 -             0.003         422502400
29820957  23:57:00             ts-delivery-service-79c46f4f45-r5pwb               705.573           706.707                 -             0.003         418627584
29820957  23:57:00             ts-delivery-service-79c46f4f45-tvmfl               705.524           706.755                 -             0.003         423297024
29820957  23:57:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         421097472
29820958  23:58:00             ts-delivery-service-79c46f4f45-bmgvs               705.453           706.023                 -             0.003         422502400
29820958  23:58:00             ts-delivery-service-79c46f4f45-r5pwb               705.743           706.919                 -             0.002         418627584
