# Lecture du graphe construit par run.py — runs/20260913-150034
# plage 2026-09-13 10:48 -> 12:58, fenêtres de 60 s
# fenêtres gardées : 130

queue: food_delivery    run: runs/20260913-150034
window  start_utc                   backlog  backlog_slope   publish_rate   consume_rate rate_imbalance      consumers
29821608  10:48:00                      6.000              -          3.533          3.533          0.000          3.000
29821609  10:49:00                      7.000          1.000          3.367          3.367          0.000          3.000
29821610  10:50:00                      3.000         -1.500          3.550          3.550          0.000          3.000
29821611  10:51:00                      4.000         -1.500          3.417          3.417          0.000          3.000
29821612  10:52:00                      4.000          0.500          3.483          3.483          0.000          3.000
29821613  10:53:00                      9.000          2.500          3.667          3.667          0.000          3.000
29821614  10:54:00                      7.000          1.500          3.467          3.467          0.000          3.000
29821615  10:55:00                      2.000         -3.500          3.467          3.467          0.000          3.000
29821616  10:56:00                      5.000         -1.000          3.367          3.367          0.000          3.000
29821617  10:57:00                      0.000         -1.000          3.567          3.533          0.033          3.000
29821618  10:58:00                      6.000          0.500          3.367          3.400         -0.033          3.000
29821619  10:59:00                      2.000          1.000          3.483          3.483          0.000          3.000
29821620  11:00:00                      7.000          0.500          3.867          3.867          0.000          3.000
29821621  11:01:00                      0.000         -1.000          3.617          3.617          0.000          3.000
29821622  11:02:00                      6.000         -0.500          3.400          3.400          0.000          3.000
29821623  11:03:00                      4.000          2.000          3.350          3.350          0.000          3.000
29821624  11:04:00                      3.000         -1.500          3.750          3.750          0.000          3.000
29821625  11:05:00                      0.000         -2.000          3.500          3.500          0.000          3.000
29821626  11:06:00                      3.000          0.000          3.217          3.217          0.000          3.000
29821627  11:07:00                      5.000          2.500          3.367          3.367          0.000          3.000
29821628  11:08:00                      1.000         -1.000          3.700          3.700          0.000          3.000
29821629  11:09:00                      0.000         -2.500          3.567          3.567          0.000          3.000
29821630  11:10:00                      2.000          0.500          3.600          3.600          0.000          3.000
29821631  11:11:00                      2.000          1.000          3.233          3.233          0.000          3.000
29821632  11:12:00                      7.000          2.500          3.750          3.750          0.000          3.000
29821633  11:13:00                      3.000          0.500          3.433          3.433          0.000          3.000
29821634  11:14:00                      5.000         -1.000          3.333          3.333          0.000          3.000
29821635  11:15:00                      7.000          2.000          3.533          3.533          0.000          3.000
29821636  11:16:00                      0.000         -2.500          3.583          3.583          0.000          3.000
29821637  11:17:00                      8.000          0.500          3.267          3.267          0.000          3.000
29821638  11:18:00                      6.000          3.000          3.350          3.350          0.000          3.000
29821639  11:19:00                      1.000         -3.500          3.700          3.700          0.000          3.000
29821640  11:20:00                      0.000         -3.000          3.283          3.283          0.000          3.000
29821641  11:21:00                      0.000         -0.500          3.433          3.433          0.000          3.000
29821642  11:22:00                      6.000          3.000          3.750          3.750          0.000          3.000
29821643  11:23:00                      2.000          1.000          3.567          3.567          0.000          3.000
29821644  11:24:00                      5.000         -0.500          3.683          3.683          0.000          3.000
29821645  11:25:00                      3.000          0.500          3.333          3.333          0.000          3.000
29821646  11:26:00                      0.000         -2.500          3.467          3.467          0.000          3.000
29821647  11:27:00                      5.000          1.000          3.417          3.417          0.000          3.000
29821648  11:28:00                      5.000          2.500          3.367          3.367          0.000          3.000
29821649  11:29:00                      3.000         -1.000          3.283          3.283          0.000          3.000
29821650  11:30:00                      6.000          0.500          3.683          3.683          0.000          3.000
29821651  11:31:00                      3.000          0.000          3.667          3.667          0.000          3.000
29821652  11:32:00                      4.000         -1.000          3.417          3.417          0.000          3.000
29821653  11:33:00                      4.000          0.500          3.467          3.467          0.000          3.000
29821654  11:34:00                      7.000          1.500          3.650          3.650          0.000          3.000
29821655  11:35:00                      6.000          1.000          3.650          3.650          0.000          3.000
29821656  11:36:00                      1.000         -3.000          3.550          3.533          0.017          3.000
29821657  11:37:00                      4.000         -1.000          3.417          3.433         -0.017          3.000
