# Lecture du graphe construit par run.py — runs/20260913-075006
# plage 2026-09-13 03:37 -> 05:47, fenêtres de 60 s
# fenêtres gardées : 130

queue: food_delivery    run: runs/20260913-075006
window  start_utc                   backlog  backlog_slope   publish_rate   consume_rate rate_imbalance      consumers
29821262  05:02:00                      2.000        -32.000          3.567          3.717         -0.150          3.000
29821263  05:03:00                      2.000         -7.000          3.783          3.800         -0.017          3.000
29821264  05:04:00                      2.000          0.000          3.333          3.333          0.000          3.000
29821265  05:05:00                      0.000         -1.000          3.400          3.400          0.000          3.000
29821266  05:06:00                      2.000          0.000          3.450          3.450          0.000          3.000
29821267  05:07:00                      6.000          3.000          3.533          3.533          0.000          3.000
29821268  05:08:00                      1.000         -0.500          3.567          3.533          0.033          3.000
29821269  05:09:00                      3.000         -1.500          3.717          3.650          0.067          3.000
29821270  05:10:00                     40.000         19.500          4.850          4.233          0.617          3.000
29821271  05:11:00                     77.000         37.000          4.917          4.250          0.667          3.000
29821272  05:12:00                    130.000         45.000          5.050          4.250          0.800          3.000
29821273  05:13:00                    159.000         41.000          4.750          4.250          0.500          3.000
29821274  05:14:00                    195.000         32.500          4.950          4.250          0.700          3.000
29821275  05:15:00                    239.000         40.000          4.833          4.233          0.600          3.000
29821276  05:16:00                    266.000         35.500          4.783          4.233          0.550          3.000
29821277  05:17:00                    308.000         34.500          4.950          4.250          0.700          3.000
29821278  05:18:00                    358.000         46.000          4.950          4.250          0.700          3.000
29821279  05:19:00                    391.000         41.500          5.000          4.250          0.750          3.000
29821280  05:20:00                    441.000         41.500          5.067          4.250          0.817          3.000
29821281  05:21:00                    487.000         48.000          4.983          4.233          0.750          3.000
29821282  05:22:00                    518.000         38.500          4.683          4.250          0.433          3.000
29821283  05:23:00                    567.000         40.000          4.967          4.250          0.717          3.000
29821284  05:24:00                    594.000         38.000          4.833          4.217          0.617          3.000
29821285  05:25:00                    620.000         26.500          4.617          4.250          0.367          3.000
29821286  05:26:00                    652.000         29.000          4.833          4.250          0.583          3.000
29821287  05:27:00                    697.000         38.500          4.983          4.233          0.750          3.000
29821288  05:28:00                    764.000         56.000          5.233          4.233          1.000          3.000
29821289  05:29:00                    684.000         -6.500          2.583          4.250         -1.667          3.000
29821290  05:30:00                    468.000       -148.000          0.617          4.250         -3.633          3.000
29821291  05:31:00                    347.000       -168.500          2.417          4.183         -1.767          3.000
29821292  05:32:00                    298.000        -85.000          3.517          4.250         -0.733          3.000
29821293  05:33:00                    265.000        -41.000          3.733          4.233         -0.500          3.000
29821294  05:34:00                    210.000        -44.000          3.217          4.250         -1.033          3.000
29821295  05:35:00                    166.000        -49.500          3.433          4.250         -0.817          3.000
29821296  05:36:00                    120.000        -45.000          3.600          4.250         -0.650          3.000
29821297  05:37:00                     82.000        -42.000          3.700          4.250         -0.550          3.000
29821298  05:38:00                     26.000        -47.000          3.267          4.250         -0.983          3.000
29821299  05:39:00                      1.000        -40.500          3.650          4.017         -0.367          3.000
29821300  05:40:00                      0.000        -13.000          3.550          3.567         -0.017          3.000
29821301  05:41:00                      0.000         -0.500          1.133          1.133          0.000          3.000
29821302  05:42:00                      0.000          0.000          0.700          0.700          0.000          3.000
29821303  05:43:00                      0.000          0.000          0.000          0.000          0.000          3.000
29821304  05:44:00                      0.000          0.000          0.000          0.000          0.000          3.000
29821305  05:45:00                      2.000          1.000          1.750          1.750          0.000          3.000
29821306  05:46:00                      3.000          1.500          2.783          2.783          0.000          3.000

instances containing 'delivery'    run: runs/20260913-075006
window  start_utc            instance                                  process_time_p50  process_time_p95       error_ratio          cpu_rate       memory_used
29821177  03:37:00             ts-delivery-service-79c46f4f45-bmgvs               705.722           845.475                 -             0.003         436592640
29821177  03:37:00             ts-delivery-service-79c46f4f45-r5pwb               705.544           845.911                 -             0.002         419491840
29821177  03:37:00             ts-delivery-service-79c46f4f45-tvmfl               705.671           846.322                 -             0.003         424329216
29821177  03:37:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         416698368
29821178  03:38:00             ts-delivery-service-79c46f4f45-bmgvs               705.711           846.212                 -             0.002         436588544
29821178  03:38:00             ts-delivery-service-79c46f4f45-r5pwb               705.855           846.581                 -             0.003         419500032
29821178  03:38:00             ts-delivery-service-79c46f4f45-tvmfl               705.560           846.475                 -             0.002         424337408
29821178  03:38:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         416665600
29821179  03:39:00             ts-delivery-service-79c46f4f45-bmgvs               705.755           846.222                 -             0.002         436592640
29821179  03:39:00             ts-delivery-service-79c46f4f45-r5pwb               706.130           846.437                 -             0.002         419500032
29821179  03:39:00             ts-delivery-service-79c46f4f45-tvmfl               705.922           707.030                 -             0.002         424370176
29821179  03:39:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         416669696
29821180  03:40:00             ts-delivery-service-79c46f4f45-bmgvs               705.629           706.384                 -             0.003         436592640
29821180  03:40:00             ts-delivery-service-79c46f4f45-r5pwb               705.792           706.757                 -             0.002         419500032
29821180  03:40:00             ts-delivery-service-79c46f4f45-tvmfl               705.430           706.718                 -             0.003         424394752
29821180  03:40:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         416665600
29821181  03:41:00             ts-delivery-service-79c46f4f45-bmgvs               705.588           706.613                 -             0.002         436592640
29821181  03:41:00             ts-delivery-service-79c46f4f45-r5pwb               705.767           707.002                 -             0.003         419504128
29821181  03:41:00             ts-delivery-service-79c46f4f45-tvmfl               705.595           707.073                 -             0.003         424337408
29821181  03:41:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         416665600
