# instant_demande	instant_effectif	voyageurs_observes	voyageurs_demandes	spawn_rate	cible	origine
2026-09-11T21:29:50Z	2026-09-11T21:29:50Z	10	10	1	train-ticket	demarrage
2026-09-11T21:30:21Z	2026-09-11T21:30:21Z	10	10	1	train-ticket	demarrage
2026-09-11T21:40:53Z	2026-09-11T21:40:53Z	10	10	1	train-ticket	demarrage
2026-09-11T21:45:04Z	2026-09-11T21:45:05Z	10	10	1	train-ticket	demande
2026-09-11T22:00:06Z	2026-09-11T22:00:28Z	30	30	1	train-ticket	demande
2026-09-11T22:15:29Z	2026-09-11T22:15:51Z	10	10	1	train-ticket	demande
2026-09-11T22:30:52Z	2026-09-11T22:31:41Z	55	55	1	train-ticket	demande
