# Lecture du graphe construit par run.py — runs/20260926-034025
# plage 2026-09-25 11:13 -> 13:23, fenêtres de 60 s
# fenêtres gardées : 130

queue: food_delivery    run: runs/20260926-034025
window  start_utc                   backlog  backlog_slope   publish_rate   consume_rate rate_imbalance      consumers
29838998  12:38:00                     93.000        -37.000          3.567          4.233         -0.667          3.000
29838999  12:39:00                     50.000        -42.500          3.517          4.250         -0.733          3.000
29839000  12:40:00                      0.000        -46.500          3.467          4.133         -0.667          3.000
29839001  12:41:00                      1.000        -24.500          3.600          3.617         -0.017          3.000
29839002  12:42:00                      3.000          1.500          3.250          3.233          0.017          3.000
29839003  12:43:00                      1.000          0.000          3.583          3.633         -0.050          3.000
29839004  12:44:00                      0.000         -1.500          3.433          3.400          0.033          3.000
29839005  12:45:00                      1.000          0.000          3.500          3.483          0.017          3.000
29839006  12:46:00                     44.000         22.000          3.583          2.833          0.750          3.000
29839007  12:47:00                     93.000         46.000          3.683          2.833          0.850          3.000
29839008  12:48:00                    139.000         47.500          3.533          2.833          0.700          2.000
29839009  12:49:00                    171.000         39.000          3.417          2.833          0.583          2.000
29839010  12:50:00                    218.000         39.500          3.533          2.800          0.733          2.000
29839011  12:51:00                    262.000         45.500          3.517          2.833          0.683          2.000
29839012  12:52:00                    301.000         41.500          3.583          2.817          0.767          2.000
29839013  12:53:00                    344.000         41.000          3.500          2.833          0.667          2.000
29839014  12:54:00                    393.000         46.000          3.650          2.833          0.817          2.000
29839015  12:55:00                    426.000         41.000          3.433          2.817          0.617          2.000
29839016  12:56:00                    456.000         31.500          3.267          2.833          0.433          2.000
29839017  12:57:00                    515.000         44.500          3.817          2.833          0.983          2.000
29839018  12:58:00                    549.000         46.500          3.467          2.817          0.650          2.000
29839019  12:59:00                    588.000         36.500          3.450          2.833          0.617          2.000
29839020  13:00:00                    636.000         43.500          3.600          2.833          0.767          2.000
29839021  13:01:00                    671.000         41.500          3.417          2.817          0.600          2.000
29839022  13:02:00                    714.000         39.000          3.567          2.833          0.733          2.000
29839023  13:03:00                    764.000         46.500          3.500          2.833          0.667          2.000
29839024  13:04:00                    802.000         44.000          3.567          2.800          0.767          2.000
29839025  13:05:00                    844.000         40.000          3.467          2.867          0.600          2.000
29839026  13:06:00                    798.000         -2.000          3.433          4.217         -0.783          3.000
29839027  13:07:00                    760.000        -42.000          3.533          4.250         -0.717          3.000
