# Lecture du graphe construit par run.py — runs/20260913-124443
# plage 2026-09-13 08:31 -> 10:41, fenêtres de 60 s
# fenêtres gardées : 130

queue: food_delivery    run: runs/20260913-124443
window  start_utc                   backlog  backlog_slope   publish_rate   consume_rate rate_imbalance      consumers
29821471  08:31:00                      3.000              -          3.617          3.617          0.000          3.000
29821472  08:32:00                      5.000          2.000          3.600          3.600          0.000          3.000
29821473  08:33:00                     20.000          8.500          3.650          3.233          0.417          3.000
29821474  08:34:00                     74.000         34.500          3.517          2.783          0.733          3.000
29821475  08:35:00                    111.000         45.500          3.517          2.750          0.767          3.000
29821476  08:36:00                    150.000         38.000          3.417          2.767          0.650          3.000
29821477  08:37:00                    190.000         39.500          3.300          2.767          0.533          3.000
29821478  08:38:00                    236.000         43.000          3.583          2.783          0.800          3.000
29821479  08:39:00                    276.000         43.000          3.517          2.750          0.767          3.000
29821480  08:40:00                    332.000         48.000          3.600          2.800          0.800          3.000
29821481  08:41:00                    373.000         48.500          3.483          2.750          0.733          3.000
29821482  08:42:00                    409.000         38.500          3.450          2.800          0.650          3.000
29821483  08:43:00                    451.000         39.000          3.467          2.750          0.717          3.000
29821484  08:44:00                    489.000         40.000          3.367          2.783          0.583          3.000
29821485  08:45:00                    525.000         37.000          3.317          2.767          0.550          3.000
29821486  08:46:00                    576.000         43.500          3.750          2.783          0.967          3.000
29821487  08:47:00                    626.000         50.500          3.517          2.767          0.750          3.000
29821488  08:48:00                    676.000         50.000          3.583          2.767          0.817          3.000
29821489  08:49:00                    719.000         46.500          3.567          2.783          0.783          3.000
29821490  08:50:00                    765.000         44.500          3.467          2.750          0.717          3.000
29821491  08:51:00                    813.000         47.000          3.583          2.800          0.783          3.000
29821492  08:52:00                    855.000         45.000          3.500          2.750          0.750          3.000
29821493  08:53:00                    877.000         32.000          3.517          3.500          0.017          3.000
29821494  08:54:00                    824.000        -15.500          3.633          4.233         -0.600          3.000
29821495  08:55:00                    792.000        -42.500          3.483          4.217         -0.733          3.000
29821496  08:56:00                    734.000        -45.000          3.350          4.233         -0.883          3.000
29821497  08:57:00                    698.000        -47.000          3.700          4.233         -0.533          3.000
29821498  08:58:00                    662.000        -36.000          3.633          4.250         -0.617          3.000
29821499  08:59:00                    621.000        -38.500          3.467          4.250         -0.783          3.000
29821500  09:00:00                    571.000        -45.500          3.367          4.233         -0.867          3.000
29821501  09:01:00                    520.000        -50.500          3.533          4.250         -0.717          3.000
29821502  09:02:00                    470.000        -50.500          3.433          4.217         -0.783          3.000
29821503  09:03:00                    428.000        -46.000          3.383          4.250         -0.867          3.000
29821504  09:04:00                    375.000        -47.500          3.333          4.250         -0.917          3.000
29821505  09:05:00                    317.000        -55.500          3.450          4.250         -0.800          3.000
29821506  09:06:00                    279.000        -48.000          3.500          4.233         -0.733          3.000
29821507  09:07:00                    220.000        -48.500          3.267          4.233         -0.967          3.000
29821508  09:08:00                    175.000        -52.000          3.533          4.250         -0.717          3.000
29821509  09:09:00                    131.000        -44.500          3.450          4.233         -0.783          3.000
29821510  09:10:00                     73.000        -51.000          3.367          4.233         -0.867          3.000
29821511  09:11:00                     36.000        -47.500          3.467          4.250         -0.783          3.000
29821512  09:12:00                      8.000        -32.500          3.600          3.933         -0.333          3.000
29821513  09:13:00                      4.000        -16.000          3.600          3.600          0.000          3.000
29821514  09:14:00                      4.000         -2.000          3.583          3.583          0.000          3.000
29821515  09:15:00                      8.000          2.000          3.500          3.500          0.000          3.000
29821516  09:16:00                      4.000          0.000          3.383          3.383          0.000          3.000
29821517  09:17:00                      2.000         -3.000          3.667          3.667          0.000          3.000
29821518  09:18:00                     15.000          5.500          3.617          3.367          0.250          3.000
29821519  09:19:00                     61.000         29.500          3.533          2.750          0.783          3.000
29821520  09:20:00                    101.000         43.000          3.350          2.783          0.567          3.000
29821521  09:21:00                    137.000         38.000          3.433          2.767          0.667          3.000
29821522  09:22:00                    185.000         42.000          3.517          2.767          0.750          3.000
29821523  09:23:00                    232.000         47.500          3.583          2.767          0.817          3.000
29821524  09:24:00                    272.000         43.500          3.500          2.750          0.750          3.000
29821525  09:25:00                    315.000         41.500          3.400          2.783          0.617          3.000
29821526  09:26:00                    349.000         38.500          3.367          2.767          0.600          3.000
29821527  09:27:00                    397.000         41.000          3.567          2.750          0.817          3.000
29821528  09:28:00                    457.000         54.000          3.700          2.767          0.933          3.000
29821529  09:29:00                    504.000         53.500          3.583          2.767          0.817          3.000
29821530  09:30:00                    537.000         40.000          3.317          2.783          0.533          3.000
29821531  09:31:00                    576.000         36.000          3.483          2.767          0.717          3.000
29821532  09:32:00                    623.000         43.000          3.517          2.767          0.750          3.000
29821533  09:33:00                    667.000         45.500          3.533          2.783          0.750          3.000
29821534  09:34:00                    717.000         47.000          3.600          2.767          0.833          3.000
29821535  09:35:00                    770.000         51.500          3.583          2.733          0.850          3.000
29821536  09:36:00                    805.000         44.000          3.433          2.783          0.650          3.000
29821537  09:37:00                    855.000         42.500          3.567          2.767          0.800          3.000
29821538  09:38:00                    877.000         36.000          3.750          3.517          0.233          3.000
29821539  09:39:00                    840.000         -7.500          3.567          4.250         -0.683          3.000
29821540  09:40:00                    795.000        -41.000          3.633          4.217         -0.583          3.000
29821541  09:41:00                    761.000        -39.500          3.600          4.250         -0.650          3.000
29821542  09:42:00                    719.000        -38.000          3.467          4.250         -0.783          3.000
