# Lecture du graphe construit par run.py — runs/20260926-034850
# plage 2026-09-25 13:29 -> 15:39, fenêtres de 60 s
# fenêtres gardées : 130

queue: food_delivery    run: runs/20260926-034850
window  start_utc                   backlog  backlog_slope   publish_rate   consume_rate rate_imbalance      consumers
29839134  14:54:00                      3.000          1.500          3.450          3.450          0.000          3.000
29839135  14:55:00                      2.000          0.000          3.333          3.383         -0.050          3.000
29839136  14:56:00                      0.000         -1.500          3.633          3.583          0.050          3.000
29839137  14:57:00                      0.000         -1.000          3.433          3.450         -0.017          3.000
29839138  14:58:00                      2.000          1.000          3.500          3.517         -0.017          3.000
29839139  14:59:00                      0.000          0.000          3.633          3.583          0.050          3.000
29839140  15:00:00                      2.000          0.000          3.667          3.733         -0.067          3.000
29839141  15:01:00                      0.000          0.000          3.050          3.050          0.000          3.000
29839142  15:02:00                      0.000         -1.000          1.000          1.000          0.000          3.000
29839143  15:03:00                      0.000          0.000          2.100          2.100          0.000          3.000
29839144  15:04:00                      0.000          0.000          0.783          0.783          0.000          3.000
29839145  15:05:00                      0.000          0.000          0.650          0.650          0.000          3.000
29839146  15:06:00                      0.000          0.000          0.550          0.550          0.000          3.000
29839147  15:07:00                      0.000          0.000          1.383          1.383          0.000          3.000
29839148  15:08:00                      0.000          0.000          2.433          2.433          0.000          3.000
29839149  15:09:00                      0.000          0.000          1.283          1.283          0.000          3.000
29839150  15:10:00                      0.000          0.000          0.800          0.800          0.000          3.000
29839151  15:11:00                      0.000          0.000          0.800          0.800          0.000          3.000
29839152  15:12:00                      0.000          0.000          0.450          0.450          0.000          3.000
29839153  15:13:00                      0.000          0.000          0.483          0.483          0.000          3.000
29839154  15:14:00                      0.000          0.000          0.433          0.433          0.000          3.000
29839155  15:15:00                      3.000          1.500          1.617          1.600          0.017          3.000
29839156  15:16:00                      0.000          0.000          1.083          1.100         -0.017          3.000
29839157  15:17:00                      0.000         -1.500          0.917          0.917          0.000          3.000
29839158  15:18:00                      0.000          0.000          0.967          0.967          0.000          3.000
29839159  15:19:00                      0.000          0.000          0.483          0.483          0.000          3.000
29839160  15:20:00                      0.000          0.000          2.550          2.550          0.000          3.000
29839161  15:21:00                      1.000          0.500          1.517          1.517          0.000          3.000
29839162  15:22:00                      0.000          0.000          3.450          3.450          0.000          3.000
29839163  15:23:00                      2.000          0.500          3.550          3.533          0.017          3.000
29839164  15:24:00                      0.000          0.000          3.483          3.500         -0.017          3.000
29839165  15:25:00                      0.000         -1.000          3.267          3.267          0.000          3.000
29839166  15:26:00                      0.000          0.000          3.450          3.450          0.000          3.000
29839167  15:27:00                      0.000          0.000          3.600          3.600          0.000          3.000
29839168  15:28:00                      1.000          0.500          3.300          3.300          0.000          3.000
29839169  15:29:00                      0.000          0.000          3.617          3.600          0.017          3.000
29839170  15:30:00                      0.000         -0.500          3.567          3.583         -0.017          3.000
29839171  15:31:00                      0.000          0.000          3.667          3.650          0.017          3.000
29839172  15:32:00                      3.000          1.500          3.417          3.433         -0.017          3.000
29839173  15:33:00                      5.000          2.500          3.517          3.517          0.000          3.000
29839174  15:34:00                      0.000         -1.500          3.450          3.433          0.017          3.000
29839175  15:35:00                      0.000         -2.500          3.250          3.267         -0.017          3.000
29839176  15:36:00                      4.000          2.000          3.633          3.633          0.000          3.000
29839177  15:37:00                      3.000          1.500          3.483          3.483          0.000          3.000
29839178  15:38:00                      0.000         -2.000          3.533          3.533          0.000          3.000

instances containing 'delivery'    run: runs/20260926-034850
window  start_utc            instance                                  process_time_p50  process_time_p95       error_ratio          cpu_rate       memory_used
29839049  13:29:00             ts-delivery-service-79c46f4f45-bmgvs               706.212           707.952                 -             0.003         439590912
29839049  13:29:00             ts-delivery-service-79c46f4f45-r5pwb               706.222           708.036                 -             0.003         435716096
29839049  13:29:00             ts-delivery-service-79c46f4f45-tvmfl               705.865           846.189                 -             0.004         444039168
29839049  13:29:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         410181632
29839050  13:30:00             ts-delivery-service-79c46f4f45-bmgvs               706.143           846.781                 -             0.003         439853056
29839050  13:30:00             ts-delivery-service-79c46f4f45-r5pwb               706.200           846.685                 -             0.003         435712000
29839050  13:30:00             ts-delivery-service-79c46f4f45-tvmfl               705.879           846.657                 -             0.003         444039168
29839050  13:30:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         410177536
29839051  13:31:00             ts-delivery-service-79c46f4f45-bmgvs               705.987           846.185                 -             0.002         439590912
